n,parents_age,child_age,coef,se,df
42055,45,35,0.531303814180762,0.0108056022739068,42047
42055,48,35,0.529891188235967,0.0107507923827981,42047
42057,44,35,0.522589609197258,0.010837461638552,42049
42057,47,35,0.514735408477497,0.0105825369379832,42049
42057,50,35,0.528870751617357,0.0107866288015976,42049
42058,31,36,0.490919469841831,0.0118934163283182,42050
42059,40,35,0.525576848655411,0.0107076582957971,42051
42059,42,35,0.527107581073534,0.0106957927546082,42051
42059,46,35,0.534577542026021,0.0107828446943586,42051
42059,52,35,0.537666585385913,0.0108915461858377,42051
42059,54,35,0.532643024006349,0.0110040926817237,42051
42059,55,35,0.523228378992362,0.0107495803802005,42051
42076,32,36,0.440918434114058,0.0112976200133946,42068
42096,33,36,0.512993826979295,0.0113281602464111,42088
42098,29,36,0.463779925687189,0.0125049745985419,42090
42106,34,36,0.499556150007479,0.011208903629908,42098
42122,60,36,0.456402575059225,0.0101655341992501,42114
42124,49,36,0.49417374763067,0.00989753461484089,42116
42128,59,36,0.480911934909538,0.0102720315214694,42120
42132,30,38,0.424986151756579,0.0124747008776817,42124
42133,35,36,0.469316670253867,0.0103583393773703,42125
42133,36,36,0.49978515416805,0.0108528401530928,42125
42137,53,36,0.511304402963292,0.0103958712467702,42129
42140,58,36,0.482471144630604,0.0102630252501959,42132
42142,38,36,0.534454268712243,0.0108666383687148,42134
42144,51,36,0.509370738530025,0.0103614072695095,42136
42146,28,38,0.402640721333859,0.0128166639438896,42138
42148,56,36,0.530649947395499,0.0108961232346732,42140
42148,57,36,0.509571707960233,0.0107064253860898,42140
42150,37,36,0.53650254658956,0.0108896497281766,42142
42150,39,36,0.509651992656588,0.0104648140164444,42142
42150,41,36,0.491086813392461,0.00997034444940549,42142
42150,43,36,0.506418635405869,0.010297592874945,42142
42150,45,36,0.520130984096445,0.0105349245113465,42142
